entity,id
DB00050,0
DB00162,1
DB00175,2
DB00176,3
DB00177,4
DB00178,5
DB00180,6
DB00181,7
DB00182,8
DB00184,9
DB00185,10
DB00186,11
DB00187,12
DB00188,13
DB00191,14
DB00193,15
DB00195,16
DB00197,17
DB00198,18
DB00200,19
DB00201,20
DB00202,21
DB00203,22
DB00204,23
DB00205,24
DB00206,25
DB00208,26
DB00210,27
DB00211,28
DB00215,29
DB00216,30
DB00218,31
DB00222,32
DB00227,33
DB00228,34
DB00230,35
DB00231,36
DB00242,37
DB00243,38
DB00246,39
DB00247,40
DB00248,41
DB00252,42
DB00257,43
DB00264,44
DB00268,45
DB00273,46
DB00276,47
DB00277,48
DB00278,49
DB00280,50
DB00281,51
DB00282,52
DB00284,53
DB00285,54
DB00287,55
DB00288,56
DB00289,57
DB00292,58
DB00293,59
DB00295,60
DB00296,61
DB00297,62
DB00302,63
DB00307,64
DB00308,65
DB00310,66
DB00312,67
DB00313,68
DB00315,69
DB00316,70
DB00317,71
DB00318,72
DB00320,73
DB00321,74
DB00323,75
DB00324,76
DB00327,77
DB00328,78
DB00331,79
DB00333,80
DB00334,81
DB00335,82
DB00337,83
DB00344,84
DB00346,85
DB00349,86
DB00350,87
DB00351,88
DB00356,89
DB00357,90
DB00358,91
DB00361,92
DB00363,93
DB00364,94
DB00367,95
DB00368,96
DB00370,97
DB00371,98
DB00373,99
DB00374,100
DB00376,101
DB00377,102
DB00379,103
DB00381,104
DB00382,105
DB00384,106
DB00388,107
DB00390,108
DB00393,109
DB00396,110
DB00398,111
DB00401,112
DB00404,113
DB00408,114
DB00411,115
DB00412,116
DB00413,117
DB00418,118
DB00419,119
DB00421,120
DB00422,121
DB00425,122
DB00431,123
DB00433,124
DB00434,125
DB00437,126
DB00439,127
DB00440,128
DB00441,129
DB00444,130
DB00446,131
DB00449,132
DB00450,133
DB00454,134
DB00457,135
DB00458,136
DB00459,137
DB00461,138
DB00465,139
DB00471,140
DB00472,141
DB00474,142
DB00475,143
DB00476,144
DB00477,145
DB00480,146
DB00481,147
DB00482,148
DB00484,149
DB00486,150
DB00489,151
DB00490,152
DB00491,153
DB00492,154
DB00494,155
DB00496,156
DB00497,157
DB00499,158
DB00500,159
DB00501,160
DB00502,161
DB00518,162
DB00519,163
DB00521,164
DB00524,165
DB00530,166
DB00532,167
DB00533,168
DB00535,169
DB00537,170
DB00539,171
DB00540,172
DB00541,173
DB00542,174
DB00543,175
DB00547,176
DB00548,177
DB00550,178
DB00554,179
DB00555,180
DB00559,181
DB00561,182
DB00563,183
DB00564,184
DB00571,185
DB00572,186
DB00573,187
DB00575,188
DB00580,189
DB00585,190
DB00586,191
DB00590,192
DB00591,193
DB00593,194
DB00594,195
DB00598,196
DB00602,197
DB00603,198
DB00605,199
DB00608,200
DB00611,201
DB00612,202
DB00615,203
DB00619,204
DB00620,205
DB00621,206
DB00622,207
DB00623,208
DB00624,209
DB00630,210
DB00631,211
DB00633,212
DB00635,213
DB00640,214
DB00641,215
DB00642,216
DB00648,217
DB00650,218
DB00651,219
DB00652,220
DB00654,221
DB00656,222
DB00657,223
DB00659,224
DB00661,225
DB00665,226
DB00668,227
DB00669,228
